usage_date,account_id,team,service,region,cost_usd,usage_amount
2025-03-15,526595802249,gamma,Lambda,us-east-1,11.5457,0.646
2025-03-15,478775557317,beta,S3,eu-west-1,9.7833,0.108
2025-03-15,228834628371,gamma,RDS,us-west-2,24.0947,0.091
2025-03-15,434203244668,beta,EC2,eu-west-1,7.6665,0.277
2025-03-15,620793407691,beta,RDS,eu-west-1,9.1201,0.958
2025-03-15,602034986642,gamma,S3,us-west-2,18.6456,0.796
2025-03-15,254183452982,gamma,EC2,eu-west-1,5.7656,0.398
2025-03-15,662846956138,alpha,RDS,us-west-2,21.6016,0.343
2025-03-15,658588578148,beta,RDS,eu-west-1,13.119,0.027
2025-03-15,816419512290,gamma,S3,us-east-1,23.555,0.498
2025-03-15,136541260082,alpha,CloudWatch,us-west-2,22.2423,0.491
2025-03-15,140518689369,gamma,EC2,eu-west-1,1.5768,0.247
2025-03-15,455471426121,gamma,S3,us-east-1,12.732,0.286
2025-03-15,876357683274,alpha,CloudWatch,us-east-1,2.5746,0.179
2025-03-15,963867951865,beta,RDS,eu-west-1,22.5611,0.108
2025-03-15,948459289502,beta,CloudWatch,eu-west-1,13.6675,0.082
2025-03-15,434296338580,alpha,CloudWatch,us-east-1,15.6164,0.936
2025-03-15,532358389692,beta,CloudWatch,us-west-2,21.8921,0.795
2025-03-15,192963266811,gamma,Lambda,us-east-1,3.2248,0.569
2025-03-15,681953550924,beta,CloudWatch,us-west-2,17.552,0.621
2025-03-15,379901725875,alpha,S3,eu-west-1,20.819,0.735
2025-03-15,793771014859,gamma,RDS,eu-west-1,21.4914,0.302
2025-03-15,291381432356,beta,CloudWatch,eu-west-1,11.3251,0.59
2025-03-15,905396305079,beta,Lambda,us-west-2,8.7899,0.098
2025-03-15,362573634736,alpha,S3,us-west-2,19.0803,0.51
2025-03-15,103156056438,gamma,EC2,eu-west-1,2.5882,0.991
2025-03-15,225647269348,gamma,RDS,eu-west-1,10.1281,0.049
2025-03-15,118041015361,alpha,Lambda,eu-west-1,18.0868,0.41
2025-03-15,292336475722,alpha,RDS,us-west-2,16.7663,0.146
2025-03-15,609197557917,gamma,CloudWatch,us-east-1,21.3731,0.327
2025-03-15,442185617107,gamma,S3,us-west-2,23.3397,0.332
2025-03-15,610158530008,gamma,Lambda,eu-west-1,5.9401,0.241
2025-03-15,169823069358,alpha,S3,us-west-2,12.9313,0.363
2025-03-15,154794577873,beta,EC2,eu-west-1,0.5804,0.543
2025-03-15,297231648231,gamma,RDS,us-east-1,24.2304,0.456
2025-03-15,277653342331,alpha,S3,us-east-1,22.6018,0.266
2025-03-15,163463025484,gamma,S3,us-east-1,12.3431,0.103
2025-03-15,124510676255,gamma,CloudWatch,us-west-2,23.2235,0.116
2025-03-15,424354060946,gamma,Lambda,us-west-2,10.9586,0.127
2025-03-15,548259927642,beta,CloudWatch,us-west-2,15.2211,0.471
2025-03-15,353612100769,gamma,S3,us-east-1,9.6592,0.11
2025-03-15,691780964871,beta,EC2,eu-west-1,22.2289,0.672
2025-03-15,472574039670,alpha,EC2,us-east-1,19.1481,0.772
2025-03-15,172282350858,alpha,CloudWatch,us-east-1,12.1081,0.606
2025-03-15,720925039622,alpha,CloudWatch,eu-west-1,16.6442,0.815
2025-03-15,435436241660,beta,RDS,us-east-1,7.8271,0.472
2025-03-15,694532738944,alpha,EC2,eu-west-1,22.9589,0.699
2025-03-15,594519924754,gamma,S3,us-west-2,0.7032,0.833
2025-03-15,597318442786,alpha,CloudWatch,us-east-1,22.5523,0.604
2025-03-15,539026706594,beta,CloudWatch,eu-west-1,10.1231,0.416
2025-03-15,120780009922,beta,S3,us-east-1,6.4019,0.596
2025-03-15,894702670100,gamma,CloudWatch,eu-west-1,5.3078,0.49
2025-03-15,418180207965,gamma,RDS,eu-west-1,22.8361,0.507
2025-03-15,498065536759,gamma,Lambda,us-west-2,4.631,0.059
2025-03-15,188618248624,gamma,EC2,us-west-2,1.6847,0.386
2025-03-15,296178076623,beta,RDS,us-west-2,16.368,0.365
2025-03-15,862317602230,alpha,RDS,us-east-1,2.7291,0.783
2025-03-15,946648211859,gamma,Lambda,eu-west-1,3.4143,0.97
2025-03-15,731107603783,gamma,EC2,us-east-1,2.5371,0.316
2025-03-15,711361542610,beta,RDS,us-east-1,6.3335,0.829
2025-03-16,967314132248,beta,EC2,eu-west-1,20.1745,0.0
2025-03-16,383868742841,gamma,RDS,us-west-2,23.8653,0.705
2025-03-16,723223019787,gamma,S3,eu-west-1,18.9085,0.957
2025-03-16,848818174344,gamma,S3,us-east-1,23.2658,0.04
2025-03-16,613490729890,alpha,S3,eu-west-1,17.098,0.956
2025-03-16,103783895510,gamma,RDS,eu-west-1,24.6902,0.266
2025-03-16,651916213689,alpha,CloudWatch,us-east-1,1.9057,0.345
2025-03-16,989865240934,beta,RDS,eu-west-1,1.1365,0.832
2025-03-16,539900918730,alpha,S3,us-west-2,9.8857,0.1
2025-03-16,290986034896,gamma,EC2,us-west-2,19.6802,0.711
2025-03-16,720322900121,gamma,CloudWatch,us-east-1,7.5275,0.639
2025-03-16,254227277733,gamma,Lambda,us-west-2,18.148,0.067
2025-03-16,970597699290,alpha,EC2,us-east-1,20.0218,0.787
2025-03-16,364725857487,alpha,Lambda,eu-west-1,8.0465,0.332
2025-03-16,267708220370,gamma,S3,us-west-2,2.8549,0.409
2025-03-16,352884179126,gamma,Lambda,us-east-1,14.7373,0.634
2025-03-16,327255968428,beta,RDS,eu-west-1,15.0584,0.258
2025-03-16,979720030712,beta,S3,us-west-2,10.2888,0.652
2025-03-16,124817283428,beta,Lambda,us-west-2,12.4372,0.213
2025-03-16,350193576754,alpha,CloudWatch,eu-west-1,14.1617,0.71
2025-03-16,206749199675,gamma,Lambda,eu-west-1,8.371,0.389
2025-03-16,974719045954,beta,S3,us-east-1,4.7228,0.728
2025-03-16,113165188349,alpha,RDS,us-east-1,24.4841,0.044
2025-03-16,936891957659,gamma,Lambda,eu-west-1,6.4524,0.236
2025-03-16,592038237569,beta,RDS,eu-west-1,4.5125,0.831
2025-03-16,625100672330,gamma,EC2,us-east-1,22.0282,0.425
2025-03-16,812883811119,alpha,S3,eu-west-1,16.0562,0.247
2025-03-16,478817534435,gamma,EC2,eu-west-1,20.116,0.001
2025-03-16,852329260178,gamma,CloudWatch,us-west-2,2.7304,0.689
2025-03-16,698813860188,alpha,Lambda,us-east-1,24.9378,0.455
2025-03-16,260827030588,gamma,CloudWatch,eu-west-1,18.4085,0.964
2025-03-16,772085629309,gamma,CloudWatch,eu-west-1,1.2001,0.066
2025-03-16,560816866811,gamma,RDS,eu-west-1,20.8611,0.797
2025-03-16,355069461389,alpha,RDS,us-east-1,10.8239,0.249
2025-03-16,479373060580,alpha,CloudWatch,eu-west-1,8.4449,0.628
2025-03-16,288436080672,alpha,RDS,us-west-2,8.3921,0.617
2025-03-16,945140970472,alpha,RDS,us-west-2,0.1651,0.681
2025-03-16,306695032048,alpha,EC2,us-west-2,22.3173,0.571
2025-03-16,553130701509,beta,Lambda,us-west-2,18.5838,0.464
2025-03-16,514900799508,gamma,EC2,us-east-1,13.7954,0.443
2025-03-16,282631978373,gamma,RDS,eu-west-1,20.1211,0.014
2025-03-16,692830578512,beta,S3,us-west-2,1.8137,0.218
2025-03-16,847124711558,gamma,CloudWatch,us-west-2,21.224,0.592
2025-03-16,613277208575,gamma,S3,us-west-2,6.5838,0.103
2025-03-16,898148549921,gamma,EC2,eu-west-1,17.7082,0.391
2025-03-16,695615829022,gamma,RDS,us-west-2,10.2461,0.049
2025-03-16,463143731247,alpha,CloudWatch,us-west-2,11.1238,0.935
